Tweet ID,Text,Retweets,Likes,Replies,Created At
1952366822684086720,"RT @Technerd_9: Glyph Matrix : Community Projects

A Thread ( 1 / 25 ) 🧵 https://t.co/Mu6yirWCaz",73,0,0,2025-08-04 13:51:38+00:00
1952332465051484276,https://t.co/2aGWoFl5KJ,40,821,52,2025-08-04 11:35:06+00:00
1950546701053260205,fantastic four https://t.co/7jugmr7eUV,141,3459,209,2025-07-30 13:19:07+00:00
1950141292526162073,"and this is why you should never send an AI to do a social media manager's job...

we've gone through all of your replies and selected the winners at random.

@HonestBihari, @TrulyRcbian, @i_rajeshh, @DBug0o and @____bean congratulations! please DM us to sort out your prizes. https://t.co/Dkm9oT0SNz",66,1238,380,2025-07-29 10:28:10+00:00
1950125144451518820,"@grok let's try this again then. 

pick one winner at random from every 10,000 replies to our original contest post.

they must be following @nothing, and make sure that they haven’t been mentioned by @getpeid or @nothingindia in the last 48 hours.",12,77,79,2025-07-29 09:24:00+00:00
1949854579094372796,"@grok this is the official and only winners announcement 📣
 
@grok, let's go. pick one winner at random from every 10,000 replies.

they must be following @nothing, and make sure that they haven’t been mentioned by @getpeid or @nothingindia in the last 24 hours.",193,855,1521,2025-07-28 15:28:52+00:00
1949479716425245152,"@Socially_M i guess while we're here - @grok who was the most famous person to visit my profile? It doesn't need to be mutual, don't tag them, just say who it was.",1,41,7,2025-07-27 14:39:18+00:00
1949396586951237783,grok is working overtime this weekend,176,4484,365,2025-07-27 09:08:59+00:00
1949133996354383991,@grok lfg,9,277,36,2025-07-26 15:45:32+00:00
1949131024530559079,"Hey @grok, pick a winner out of every 10,000th comment, they get the Nothing product they mention. Must be following @nothing. Ends in 48 hours. Let’s go.",3273,27193,48200,2025-07-26 15:33:44+00:00
1947962563662110965,"Headphone (1), brought to life by Jordan Hemingway in London. 

Head-turner. https://t.co/Uf8rtZ9Q5n",53,756,36,2025-07-23 10:10:41+00:00
1947673170078498859,"Get started:

Get the latest version of Nothing X from Google Play or the App Store. https://t.co/ldWXEgDIe4",21,262,9,2025-07-22 15:00:44+00:00
1947673164772778182,"Here’s what the integration brings:

More stable connection with your CMF Watch. Sharper, faster GPS tracking.

A seamless visual experience, designed to match Nothing OS, down to the last pixel.

Built for what’s next. Future-ready architecture for deeper CMF Watch feature https://t.co/pDMBLlhbCf",21,326,7,2025-07-22 15:00:43+00:00
1947673160200962459,"The new Nothing X app is here.

The completely redesigned interface gives you better control, smoother performance, and more personalisation. Manage your devices, access detailed fitness insights, and keep everything connected. Now, all your audio products and CMF watches are https://t.co/mSjfGFA7GT",126,1574,34,2025-07-22 15:00:42+00:00
1947628096561033617,"Headphone (1), brought to life by Jordan Hemingway in London.

Metamorphic. https://t.co/kAUYOZRwQ8",135,1838,28,2025-07-22 12:01:38+00:00
1945753334805148027,"RT @essential: print(""Hello, World!"") 👾",204,0,0,2025-07-17 07:52:00+00:00
1945045902927790542,"Phone (3) and Headphone (1). 

Yours, from today. https://t.co/Oz2UAhE15L",205,3622,412,2025-07-15 09:00:55+00:00
1944759373407867040,RT @robgodwin_: Perfect pairing ⚪ https://t.co/WZcB5zWaDP,621,0,0,2025-07-14 14:02:21+00:00
1943982444153045443,"📍Nothing Store, Soho https://t.co/mjoUpr3CYp",33,512,40,2025-07-12 10:35:06+00:00
1943692262086443296,"Be there for the Drops to get your hands on Phone (3) and Headphone (1).

There'll also be a chance to win 3 years of free Nothing products.

Join us at Nothing Store Soho on 12 July, from 11:00 BST. https://t.co/d6FQjNa8zr",57,858,107,2025-07-11 15:22:01+00:00
1942629819864199284,iykyk https://t.co/m9EMfZDAAT,126,3618,380,2025-07-08 17:00:16+00:00
1942529998449172508,⬜️ or ⬛️ https://t.co/AJv3n0c5R3,249,6631,1138,2025-07-08 10:23:36+00:00
1941467403373752509,"Come to Play or Come to Pay?

Phone (3). https://t.co/H7QWVutd6F",208,3579,369,2025-07-05 12:01:14+00:00
1941199141033607542,https://t.co/E1kL5wxFw1 https://t.co/RdwLdY8ilG,56,1310,41,2025-07-04 18:15:15+00:00
1941136857364144196,what a week,38,1774,277,2025-07-04 14:07:46+00:00
1941103778402365790,"Phone (3) &amp; Headphone (1).

Get yours first. Pre-order now. https://t.co/JUfqzR8WYr",228,3674,323,2025-07-04 11:56:19+00:00
1941075522324500814,"Every detail, every angle, every time.

Phone (3). Come to Play. https://t.co/pPreDFWinZ",165,6004,516,2025-07-04 10:04:02+00:00
1940741357061955705,"The all-new Glyph Matrix redefines how a smartphone communicates—bringing a dynamic, independent interface that makes technology feel fresh, intuitive, and uniquely yours. This is the future of interaction.

Phone (3). Come to Play. https://t.co/lBzLVcWjcg",157,1931,253,2025-07-03 11:56:11+00:00
1940730091434397842,"RT @e_kayganaci: Wondered why everyone was looking at me this morning. 

@nothing Headphone (1) is an eye-catcher for sure. https://t.co/7v…",13,0,0,2025-07-03 11:11:25+00:00
1940729548678791642,RT @ijustine: This is really cool new feature on the new @nothing phone (3) — the glyph matrix?! https://t.co/Px7KMzfcMX,327,0,0,2025-07-03 11:09:16+00:00
1940394386602233931,"Headphone (1). 

Control your sound. Control your world. https://t.co/02F76DCbuw",163,2305,46,2025-07-02 12:57:27+00:00
1940110713491526136,"RT @getpeid: Big day for us at Nothing.

We just announced Headphone (1), our first over-ear headphones, and Phone (3), our most refined sm…",138,0,0,2025-07-01 18:10:14+00:00
1940097481381224857,"Phone (3) is here. Come to Play.

Pre-order yours. 4 July. https://t.co/k92AZBO7lf",1656,18246,2734,2025-07-01 17:17:39+00:00
1940097465232830489,"Headphone (1) is here. Come to Play.

Pre-order yours. 4 July. https://t.co/OguDw1BS6z",1015,12831,259,2025-07-01 17:17:35+00:00
1940090542194311214,10 mins https://t.co/l9hAX4FVse,124,4362,91,2025-07-01 16:50:05+00:00
1939972371357573408,Today. 18:00 BST. It's almost playtime. https://t.co/XAHQcBlmqi,129,2583,76,2025-07-01 09:00:30+00:00
1939953791303897312,@rapidreviewsuk 🙏,0,68,3,2025-07-01 07:46:41+00:00
1939948439774581176,GM https://t.co/hdN22RPgwg,192,7294,128,2025-07-01 07:25:25+00:00
1939730652368388229,24 hours https://t.co/ArHHLIvawo,199,5375,159,2025-06-30 17:00:00+00:00
1938210409783431458,@Flowerblocks 🖤,0,13,2,2025-06-26 12:19:06+00:00
1938209038174425557,@notdynamicyt thats me :),1,344,4,2025-06-26 12:13:39+00:00
1938205674007093491,https://t.co/AZ2ok1DS2w,36,1057,20,2025-06-26 12:00:17+00:00
1938205669712183441,"Phone (3) with 50 MP periscope lens.

Built for creators. https://t.co/USmnNb7yQY",332,7501,257,2025-06-26 12:00:16+00:00
1937896962088386580,please stop commenting 'nothing' https://t.co/pSCsZk77LI,150,6689,371,2025-06-25 15:33:34+00:00
1937798626979222015,What does this button do? https://t.co/GIArpc0X8u,83,3059,395,2025-06-25 09:02:49+00:00
1935988174368784796,head https://t.co/j07ykFkaB5,111,4324,131,2025-06-20 09:08:44+00:00
1935669481906266282,"When light becomes language.

Introducing the Glyph Matrix.

Phone (3).  1 July. https://t.co/YtlPDIlMO6",323,4522,288,2025-06-19 12:02:22+00:00
1935311592507265219,@TechyNisarg don't tell me what to do,1,493,22,2025-06-18 12:20:14+00:00
1935306748002234491,"Every detail, tuned. https://t.co/wdRgiUh4BE",139,5425,141,2025-06-18 12:00:59+00:00
1934929343504883974,"Everything enhanced.

With the latest Snapdragon 8s Gen 4 processor. https://t.co/J7pCciee2d",222,3682,379,2025-06-17 11:01:19+00:00
1933095147308458255,"free will is crazy, i could just share the rest of phone (3) with you all right now https://t.co/YNeT2WPXcZ",136,4692,261,2025-06-12 09:32:52+00:00
1933086878724501564,https://t.co/RD09ve9Luh,155,3153,68,2025-06-12 09:00:01+00:00
1932812672505934240,@riteshrup12 you're onto something,0,489,8,2025-06-11 14:50:25+00:00
1932811255305416859,phone,130,5258,202,2025-06-11 14:44:47+00:00
1932028677534970312,"Nothing’s been named one of @Bloomberg and Founders Forum’s top 25 European companies to watch. Grateful to be recognised alongside others building boldly while many play it safe. 

Thanks to everyone backing the journey. https://t.co/bovuWJbU1p",72,1275,39,2025-06-09 10:55:06+00:00
1930922415623704878,"Phone (3).

Ultra-precise engineering. https://t.co/dvw1aVRHND",210,5274,140,2025-06-06 09:39:13+00:00
1930601585786175963,"RT @getpeid: Just stepped off stage at @sxswlondon, a massive thanks to @lucyhedges for hosting the session.

We discussed how we’ve built…",80,0,0,2025-06-05 12:24:21+00:00
1930594209938956598,📱(3) + 🎧 (1),215,4248,120,2025-06-05 11:55:03+00:00
1930259209041383658,new pfp unlocked https://t.co/VDBV6VnNXb,91,3532,84,2025-06-04 13:43:52+00:00
1929870704968606029,"Come to Play.

Phone (3). 1 July, 18:00 BST. https://t.co/9afIpKao1s",479,5782,298,2025-06-03 12:00:05+00:00
1929532896827642023,@loldomeoff i was counting my annual leave,1,284,3,2025-06-02 13:37:46+00:00
1929530845552931122,50% complete https://t.co/Gs0C92neFX,81,3083,61,2025-06-02 13:29:37+00:00
1928058744698482832,We killed the Glyph Interface. https://t.co/wlLHNzzc72,260,3620,432,2025-05-29 12:00:00+00:00
1927288693460550113,It’s all in the details. https://t.co/2M4BgxMBGC,176,4253,109,2025-05-27 09:00:06+00:00
1925491851903058292,"Welcoming this year’s winners of the Community Edition Project.

Emre, Louis, Ambrogio, Jad and Sushruta will be working with the Nothing Team this summer to bring Phone (3a) Community Edition to life.

Thank you to everyone who voted or created a submission for this year’s https://t.co/5nV989r2rf",71,1181,47,2025-05-22 10:00:06+00:00
1925123141640020354,"@ehwhats_up_doc I’m a social media manager, not a mathmagician",6,565,10,2025-05-21 09:34:58+00:00
1925115855207084264,(1) + (2),106,3219,257,2025-05-21 09:06:01+00:00
1924752017370526201,"Phone (3). It's a magic number. 

Coming July 2025. https://t.co/WEQ7Vcf72H",494,5271,266,2025-05-20 09:00:15+00:00
1923362156960985213,https://t.co/sQWoaPA534,243,4703,155,2025-05-16 12:57:27+00:00
1923069495079231728,@muzikantsmorg tbd,2,252,11,2025-05-15 17:34:31+00:00
1923053378768077247,https://t.co/2cyWs3kQij,666,13606,281,2025-05-15 16:30:28+00:00
1922952946364330088,"Time to update. 

Our latest OS update for Phone (2) brings improvements that keep your experience feeling fresh, every time. We're also working to bring on Camera Presets and will be with you soon. Stay tuned.
Here’s what’s new.

New Features:
🔐 Privacy Space: Swipe right in",62,1352,102,2025-05-15 09:51:23+00:00
1922574543853371521,RT @AkisEvangelidis: Phone (3) - loading. Our first true flagship smartphone. https://t.co/ODNoBGAqdv,103,0,0,2025-05-14 08:47:45+00:00
1922345404676329961,iykyk https://t.co/BGkd9CtaPn,74,2673,227,2025-05-13 17:37:14+00:00
1922282689668710802,"Nothing &amp; KEF

Two iconic British brands. One extraordinary audio experience. 

Coming soon. https://t.co/JzA8dNPRgY",175,2757,63,2025-05-13 13:28:02+00:00
1920478376378179611,3⃣,229,4278,333,2025-05-08 13:58:20+00:00
1920137994893230380,📱,130,3234,161,2025-05-07 15:25:47+00:00
1919678816869335071,"RT @cmfbynothing: Ready to be yours. 

Get your hands on CMF Phone 2 Pro and the new CMF Buds family – Buds 2, Buds 2 Plus and Buds 2a. htt…",71,0,0,2025-05-06 09:01:10+00:00
1917508072169431307,"RT @getpeid: Last night in Berlin, we picked up the prestigious iF Design Gold Award for Nothing’s industry-first co-creation project — Com…",58,0,0,2025-04-30 09:15:24+00:00
1917237882567250097,"📥 How to get the update: (6/6)

Go to Settings &gt; System &gt; System updates &gt; Download and Install.

Updates are rolling out gradually, so it might take a minute.",4,173,4,2025-04-29 15:21:46+00:00
1917237880704946286,"🔧 More features and fixes: (5/6)

🔐 Privacy Space: Swipe right in app drawer.
🔑 Separate passwords for App Locker and Privacy Space.
📶 Hotspot Manager: See who’s connected.
🛡️ April Android security patch.
🐞 General stability improvements.",4,189,8,2025-04-29 15:21:45+00:00
1917237877202694489,"✨ Welcome to Nothing X 3.0: (4/6)

A fresh new UI — more immersive, more fluid.
🎧 Support for Buds 2.
🛠️ General bug fixes and polish. https://t.co/iKKSfStN95",7,120,2,2025-04-29 15:21:45+00:00
1917237874153681156,"More camera upgrades: (3/6)

🤳 Better selfies with improved skin detail + colour balance.
🌃 Clearer night shots under streetlights.
🎨 Filters now on 50MP images.
🔍 Brighter telephoto low-light captures.
✨ Less flicker in slow-mo and zoom footage.",3,109,2,2025-04-29 15:21:44+00:00
1917237870429086180,"Shoot in 4K, from every angle: (2/6)

You can now record in 4K 30FPS using the telephoto and periscope cameras.

Zoom to 2x — Phone (3a) switches to the telephoto lens.
Go to 3x — Phone (3a) Pro kicks in with the periscope lens. https://t.co/t1JofbC9vR",5,124,2,2025-04-29 15:21:43+00:00
1917237865995702331,"Time to update.:

Our latest OS update for Phone (3a) Series brings what you’ve been asking for — 4K video recording on telephoto and periscope cameras. Plus, a lot of camera upgrades, and a refreshed Nothing X design.

Here’s what’s new. 🧵 (1/6) https://t.co/tYvlwp22ZR",57,1210,72,2025-04-29 15:21:42+00:00
1917172231668678743,"Essential Space Update: 

We have just released a new update that makes Essential Space faster, more stable and intuitive. As part of it, you can now edit your to-do lists. 

Essential Space improvements in detail: 
✨ Added reminder detailed page: now you can easily edit the https://t.co/kLOuJzQM72",48,1034,36,2025-04-29 11:00:54+00:00
1916867886448087167,@imparkerburton 🙌,1,87,3,2025-04-28 14:51:32+00:00
1916852479922221508,"RT @cmfbynothing: Nothing like the new CMF arrivals.

Meet CMF Phone 2 Pro. Refined in performance, wonderful by design.

And the next-gene…",251,0,0,2025-04-28 13:50:19+00:00
1916835593746591958,@cmfbynothing 🔥,0,73,1,2025-04-28 12:43:13+00:00
1916832504759144959,"RT @cmfbynothing: We're kicking off early today - get ready to tune in at 1:45

📽️: https://t.co/MqNUGI6Drx https://t.co/AtsdYfHbfX",47,0,0,2025-04-28 12:30:56+00:00
1915054561112498595,"Built with you. Round two.

The Community Edition Project submissions are now closed. Now it’s time to choose the ultimate version of Phone (3a).

Voting is open and ends tomorrow at 11AM BST https://t.co/PB4E6K5zbH",47,896,40,2025-04-23 14:46:02+00:00
1914248759523070449,"RT @cmfbynothing: Playful and powerful. 

This is CMF Phone 2 Pro. https://t.co/0vHufUxBfM",403,0,0,2025-04-21 09:24:03+00:00
1912130796166480123,RT @andres_vidoza: I can't believe this is a $460 phone. https://t.co/JdF27xrQjz,66,0,0,2025-04-15 13:08:02+00:00
1910650346675855804,a statement https://t.co/LnYagq9R77,93,2378,92,2025-04-11 11:05:15+00:00
1909569951133839713,@salthusnu @virtualsolanki @grok im not saying,0,127,11,2025-04-08 11:32:09+00:00
1909569790349389887,@virtualsolanki @grok why dont you just ask me?,0,175,12,2025-04-08 11:31:30+00:00
1909568881716326900,"there are two kinds of people:
– people who buy Nothing
– and people who ask “is it a case?”",127,2246,109,2025-04-08 11:27:54+00:00
1909265226098221113,my morning routine https://t.co/SJImKF2GKK,65,1664,52,2025-04-07 15:21:16+00:00
